Option removed: o10, at trial: 2	bad
Option removed: o12, at trial: 2	bad
Option removed: o9, at trial: 2		good
Option removed: o11, at trial: 3	good
Option removed: o6, at trial: 7		bad
Option removed: o8, at trial: 7		bad
Option removed: o3, at trial: 77	good
Option removed: o16, at trial: 77	bad
Option removed: o13, at trial: 77	good
Option removed: o14, at trial: 77	bad
Option removed: o7, at trial: 110	good
Option removed: o5, at trial: 167	good
Option removed: o2, at trial: 1919	bad
